"","x"
"1","a"
"2","about"
"3","above"
"4","above"
"5","across"
"6","after"
"7","afterwards"
"8","again"
"9","against"
"10","all"
"11","almost"
"12","alone"
"13","along"
"14","already"
"15","also"
"16","although"
"17","always"
"18","am"
"19","among"
"20","amongst"
"21","amoungst"
"22","amount"
"23","an"
"24","and"
"25","another"
"26","any"
"27","anyhow"
"28","anyone"
"29","anything"
"30","anyway"
"31","anywhere"
"32","are"
"33","around"
"34","as"
"35","at"
"36","back"
"37","be"
"38","became"
"39","because"
"40","become"
"41","becomes"
"42","becoming"
"43","been"
"44","before"
"45","beforehand"
"46","behind"
"47","being"
"48","below"
"49","beside"
"50","besides"
"51","between"
"52","beyond"
"53","bill"
"54","both"
"55","bottom"
"56","but"
"57","by"
"58","call"
"59","can"
"60","cannot"
"61","cant"
"62","co"
"63","con"
"64","could"
"65","couldnt"
"66","cry"
"67","de"
"68","describe"
"69","detail"
"70","do"
"71","done"
"72","down"
"73","due"
"74","during"
"75","each"
"76","eg"
"77","eight"
"78","either"
"79","eleven"
"80","else"
"81","elsewhere"
"82","empty"
"83","enough"
"84","etc"
"85","even"
"86","ever"
"87","every"
"88","everyone"
"89","everything"
"90","everywhere"
"91","except"
"92","few"
"93","fifteen"
"94","fify"
"95","fill"
"96","find"
"97","fire"
"98","first"
"99","five"
"100","for"
"101","former"
"102","formerly"
"103","forty"
"104","found"
"105","four"
"106","from"
"107","front"
"108","full"
"109","further"
"110","get"
"111","give"
"112","go"
"113","had"
"114","has"
"115","hasnt"
"116","have"
"117","he"
"118","hence"
"119","her"
"120","here"
"121","hereafter"
"122","hereby"
"123","herein"
"124","hereupon"
"125","hers"
"126","herself"
"127","him"
"128","himself"
"129","his"
"130","how"
"131","however"
"132","hundred"
"133","ie"
"134","if"
"135","in"
"136","inc"
"137","indeed"
"138","interest"
"139","into"
"140","is"
"141","it"
"142","its"
"143","itself"
"144","keep"
"145","last"
"146","latter"
"147","latterly"
"148","least"
"149","less"
"150","ltd"
"151","made"
"152","many"
"153","may"
"154","me"
"155","meanwhile"
"156","might"
"157","mill"
"158","mine"
"159","more"
"160","moreover"
"161","most"
"162","mostly"
"163","move"
"164","much"
"165","must"
"166","my"
"167","myself"
"168","name"
"169","namely"
"170","neither"
"171","never"
"172","nevertheless"
"173","next"
"174","nine"
"175","no"
"176","nobody"
"177","none"
"178","noone"
"179","nor"
"180","not"
"181","nothing"
"182","now"
"183","nowhere"
"184","of"
"185","off"
"186","often"
"187","on"
"188","once"
"189","one"
"190","only"
"191","onto"
"192","or"
"193","other"
"194","others"
"195","otherwise"
"196","our"
"197","ours"
"198","ourselves"
"199","out"
"200","over"
"201","own"
"202","part"
"203","per"
"204","perhaps"
"205","please"
"206","put"
"207","rather"
"208","re"
"209","same"
"210","see"
"211","seem"
"212","seemed"
"213","seeming"
"214","seems"
"215","serious"
"216","several"
"217","she"
"218","should"
"219","show"
"220","side"
"221","since"
"222","sincere"
"223","six"
"224","sixty"
"225","so"
"226","some"
"227","somehow"
"228","someone"
"229","something"
"230","sometime"
"231","sometimes"
"232","somewhere"
"233","still"
"234","such"
"235","system"
"236","take"
"237","ten"
"238","than"
"239","that"
"240","the"
"241","their"
"242","them"
"243","themselves"
"244","then"
"245","thence"
"246","there"
"247","thereafter"
"248","thereby"
"249","therefore"
"250","therein"
"251","thereupon"
"252","these"
"253","they"
"254","thickv"
"255","thin"
"256","third"
"257","this"
"258","those"
"259","though"
"260","three"
"261","through"
"262","throughout"
"263","thru"
"264","thus"
"265","to"
"266","together"
"267","too"
"268","top"
"269","toward"
"270","towards"
"271","twelve"
"272","twenty"
"273","two"
"274","un"
"275","under"
"276","until"
"277","up"
"278","upon"
"279","us"
"280","very"
"281","via"
"282","was"
"283","we"
"284","well"
"285","were"
"286","what"
"287","whatever"
"288","when"
"289","whence"
"290","whenever"
"291","where"
"292","whereafter"
"293","whereas"
"294","whereby"
"295","wherein"
"296","whereupon"
"297","wherever"
"298","whether"
"299","which"
"300","while"
"301","whither"
"302","who"
"303","whoever"
"304","whole"
"305","whom"
"306","whose"
"307","why"
"308","will"
"309","with"
"310","within"
"311","without"
"312","would"
"313","yet"
"314","you"
"315","your"
"316","yours"
"317","yourself"
"318","yourselves"
"319","the"
